,Model,Accuracy,Bal Acc.,Time
1,Random Forest,49.35222672064777,54.21108737990511,1.719038724899292
2,AdaBoost,49.35222672064777,55.27648717540201,1.0507497787475586
3,Extra Trees,47.57085020242915,54.01222820974305,0.8271677494049072
4,LightGBM,45.7085020242915,51.299027152259214,1.7895588874816895
5,Skl HistGBM,44.69635627530364,50.654344264477245,18.886465549468994
6,CatBoost,44.089068825910935,49.16896282824279,43.09814143180847
7,XGBoost,43.84615384615385,48.73912809297789,8.211960792541504
8,Skl GBM,38.097165991902834,40.892620353445444,22.52562975883484
9,Decision Tree,32.14574898785425,34.02734555681965,0.22857189178466797
10,SVM,18.54251012145749,22.746018551140903,1.3745098114013672
