iter	MultiClass
0	1.537187469
1	1.47579714
2	1.4154086
3	1.364624067
4	1.319406475
5	1.280632622
6	1.252287139
7	1.216051776
8	1.188311266
9	1.16685432
10	1.14295705
11	1.118140045
12	1.103872472
13	1.086353498
14	1.067907519
15	1.051838571
16	1.030096842
17	1.018729364
18	1.003891598
19	0.988228741
20	0.9792730999
21	0.9701550158
22	0.9594759091
23	0.9455454355
24	0.9395097273
25	0.9304671905
26	0.9211221222
27	0.9121926056
28	0.9055586237
29	0.8958401016
30	0.8880122869
31	0.8831724847
32	0.8746302296
33	0.8711884002
34	0.8641458335
35	0.8597860522
36	0.8554333194
37	0.8506829425
38	0.8462246011
39	0.8426524346
40	0.8363629042
41	0.8340469117
42	0.8309374962
43	0.8279524413
44	0.8232193651
45	0.8197845757
46	0.8165887962
47	0.8133308873
48	0.8095462992
49	0.8054962203
50	0.8010969683
51	0.7979562999
52	0.7958362342
53	0.7917871066
54	0.7884394136
55	0.7842425002
56	0.780919112
57	0.7757595431
58	0.7727642617
59	0.7700989977
60	0.7679553788
61	0.7645917153
62	0.761930476
63	0.7595261312
64	0.7578021033
65	0.7533510576
66	0.7514556965
67	0.7494733909
68	0.747345537
69	0.7448918276
70	0.7419104241
71	0.739003184
72	0.7369329344
73	0.7345386437
74	0.731624854
75	0.7301216814
76	0.7262841594
77	0.7240441467
78	0.7213532294
79	0.7177655834
80	0.7151327559
81	0.7116586001
82	0.7093841506
83	0.7072592361
84	0.7046401089
85	0.7028563323
86	0.6979470738
87	0.6964775388
88	0.6937937991
89	0.6916737985
90	0.6905057488
91	0.6870989257
92	0.6850575679
93	0.6829294711
94	0.6818032955
95	0.679398851
96	0.6772962631
97	0.6753878199
98	0.6742538176
99	0.6728747112
100	0.6683943862
101	0.6658146549
102	0.6640115636
103	0.6627180299
104	0.6610548033
105	0.6565364465
106	0.654942988
107	0.6541806413
108	0.651867317
109	0.6504439712
110	0.6490776804
111	0.6467750035
112	0.6447395711
113	0.6427647322
114	0.641416457
115	0.6380182752
116	0.6373971931
117	0.6333401592
118	0.631269534
119	0.628583338
120	0.6252747164
121	0.624197816
122	0.6219474377
123	0.6201824678
124	0.6160033406
125	0.6130799545
126	0.6121516928
127	0.6112049112
128	0.6091660362
129	0.6068281697
130	0.6047626189
131	0.602553044
132	0.599355482
133	0.5970637938
134	0.5955053469
135	0.593366113
136	0.592082916
137	0.589167925
138	0.5880063216
139	0.5868274423
140	0.5853339043
141	0.5836705237
142	0.5821830528
143	0.5801098399
144	0.5792574701
145	0.5767457695
146	0.5755115079
147	0.5740703685
148	0.5731935267
149	0.5720437647
150	0.5711092491
151	0.5703151487
152	0.567712424
153	0.5664301954
154	0.5651628921
155	0.5633217356
156	0.5618413857
157	0.5593773354
158	0.5571727361
159	0.5558476854
160	0.554471914
161	0.5525832988
162	0.5515950335
163	0.550273147
164	0.5490894508
165	0.5476872066
166	0.545790701
167	0.5445595282
168	0.5436881886
169	0.5422445065
170	0.5408199808
171	0.5381117598
172	0.5372933312
173	0.535844633
174	0.5339725477
175	0.5330333874
176	0.531571878
177	0.5295063635
178	0.528661706
179	0.5276000696
180	0.527065872
181	0.5252058431
182	0.5239591696
183	0.5231053963
184	0.5217288807
185	0.5212111288
186	0.5200741005
187	0.5189076563
188	0.5170129216
189	0.5167783216
190	0.5155709716
191	0.5146149487
192	0.5139062774
193	0.5125354633
194	0.5114241781
195	0.5098626179
196	0.5092187715
197	0.5080135792
198	0.5067518665
199	0.5057696478
200	0.5043648572
201	0.5023879134
202	0.5008474263
203	0.5000116113
204	0.4991250068
205	0.4986362265
206	0.4976080888
207	0.4971885049
208	0.4959056356
209	0.4943520943
210	0.4924898968
211	0.4914137751
212	0.4905617343
213	0.4898832709
214	0.4888615365
215	0.4882772161
216	0.4871250004
217	0.4864903713
218	0.4857970624
219	0.4851624045
220	0.4846930802
221	0.4836936209
222	0.4830457476
223	0.4818887764
224	0.4809872004
225	0.4801469636
226	0.4795484259
227	0.4787888728
228	0.4782959278
229	0.4769219464
230	0.4757441854
231	0.4754043442
232	0.4745433837
233	0.4739687198
234	0.4723633496
235	0.4712803947
236	0.4702499807
237	0.4695845983
238	0.468736299
239	0.4679680671
240	0.4669723072
241	0.4661533422
242	0.4644378401
243	0.4631869483
244	0.4626030735
245	0.4613984599
246	0.4605764254
247	0.4591361754
248	0.4586224775
249	0.457843111
250	0.4561073971
251	0.455741608
252	0.4543155077
253	0.4534713177
254	0.4527372699
255	0.4513198541
256	0.4506331605
257	0.4494991813
258	0.4482365215
259	0.4471446706
260	0.4458928183
261	0.4455054012
262	0.4446319533
263	0.4439630179
264	0.4431461829
265	0.4427127956
266	0.4419179768
267	0.4411692726
268	0.4406893059
269	0.4398673842
270	0.4384259226
271	0.4374158252
272	0.437025708
273	0.4362976321
274	0.4351417959
275	0.4339691495
276	0.4333362994
277	0.4321584659
278	0.4313023303
279	0.4306173046
280	0.430192818
281	0.4291508714
282	0.4286459674
283	0.428053245
284	0.4273336031
285	0.4266334134
286	0.4255914836
287	0.4244328936
288	0.4235035727
289	0.4223986413
290	0.4213586722
291	0.4207041873
292	0.4201319583
293	0.4196265197
294	0.4180624712
295	0.4174569496
296	0.4166718553
297	0.415817978
298	0.4153684034
299	0.4145900968
300	0.4140898791
301	0.4133159719
302	0.4128617374
303	0.4124100974
304	0.4115570136
305	0.411177466
306	0.4106467898
307	0.4097278923
308	0.4091613653
309	0.4084389571
310	0.407514895
311	0.4068678503
312	0.406085661
313	0.4055829896
314	0.4051068868
315	0.4044108218
316	0.4039701752
317	0.4033828272
318	0.4028237635
319	0.4019492555
320	0.4011089599
321	0.4006534351
322	0.4002617985
323	0.3998185846
324	0.39908205
325	0.3983663649
326	0.3975885083
327	0.3969882173
328	0.3964888001
329	0.396065942
330	0.3953335628
331	0.3938259915
332	0.3931508793
333	0.3926993453
334	0.3922757625
335	0.3914009456
336	0.3908693601
337	0.3904989425
338	0.3897430842
339	0.3888678782
340	0.3883506082
341	0.3877557977
342	0.3869239442
343	0.3858361164
344	0.3850947952
345	0.384400341
346	0.3837999086
347	0.3834575481
348	0.3825412551
349	0.3819679675
350	0.3816759859
351	0.3805637427
352	0.3800382073
353	0.3791807713
354	0.378664489
355	0.3782634682
356	0.3777805417
357	0.3771968965
358	0.3766369525
359	0.3761350304
360	0.3756509271
361	0.3746499903
362	0.3734626226
363	0.37209137
364	0.3716955222
365	0.3714510678
366	0.3705545699
367	0.3697857973
368	0.3689895664
369	0.3681643752
370	0.3677282109
371	0.3672479847
372	0.3669765744
373	0.3664663659
374	0.3654359782
375	0.3651566666
376	0.3641243194
377	0.3636399849
378	0.3634009341
379	0.3632307009
380	0.3626236357
381	0.3622976933
382	0.3614009961
383	0.36052862
384	0.3600741693
385	0.3595615016
386	0.3588113004
387	0.3583507699
388	0.3579205607
389	0.3571938489
390	0.3562650907
391	0.3560242497
392	0.3552991355
393	0.3546856801
394	0.3537783999
395	0.353552713
396	0.3527439086
397	0.3523718018
398	0.3517055037
399	0.3510389865
400	0.350565813
401	0.3496376301
402	0.3491611224
403	0.3484109379
404	0.3480665676
405	0.3477232454
406	0.3470210985
407	0.3465595958
408	0.3460575594
409	0.3451657659
410	0.3446458434
411	0.3438587791
412	0.3434223792
413	0.3432847874
414	0.3426612024
415	0.3421873548
416	0.3413784221
417	0.340683477
418	0.3400171975
419	0.3393440695
420	0.3390210468
421	0.3387446302
422	0.3378670322
423	0.3373896078
424	0.336987432
425	0.3365774999
426	0.3360781444
427	0.335248315
428	0.334933806
429	0.3345169248
430	0.3336323555
431	0.3329331324
432	0.3324885824
433	0.332050552
434	0.3311347449
435	0.3308625398
436	0.3294361854
437	0.3281772006
438	0.3278891556
439	0.3274185875
440	0.3269520672
441	0.3264448091
442	0.3257849045
443	0.3255530708
444	0.3251688935
445	0.3247035528
446	0.3243599129
447	0.3235514397
448	0.3229848672
449	0.3224715859
450	0.3217865657
451	0.321171768
452	0.3205148418
453	0.3200137469
454	0.3195871291
455	0.3185871434
456	0.3183397186
457	0.3177621706
458	0.3171632679
459	0.3167282436
460	0.3161588407
461	0.3149491665
462	0.3147232833
463	0.3142671145
464	0.3139147425
465	0.3131860396
466	0.3125830684
467	0.31216777
468	0.311240119
469	0.3104765594
470	0.3100237388
471	0.3094745144
472	0.3086138537
473	0.3080061929
474	0.3076289245
475	0.3072000414
476	0.3065761534
477	0.3058835944
478	0.3055740672
479	0.3051896402
480	0.3049053008
481	0.3044867865
482	0.3041796077
483	0.3038261275
484	0.3032387966
485	0.3025861086
486	0.302262307
487	0.301818018
488	0.3013587744
489	0.3009251904
490	0.300430464
491	0.3002775984
492	0.2999004635
493	0.2995399307
494	0.2989645869
495	0.2983683932
496	0.2980211688
497	0.2974102166
498	0.2968196852
499	0.296319569
500	0.2958434678
501	0.2953825883
502	0.2948722901
503	0.2942346455
504	0.2937836897
505	0.2930686556
506	0.2924932914
507	0.2920892189
508	0.2918320313
509	0.2912720154
510	0.290458673
511	0.290223461
512	0.289894955
513	0.2894875079
514	0.2891523377
515	0.288229632
516	0.2878766647
