iter	Passed	Remaining
0	31	31135
1	57	28578
2	85	28446
3	115	28771
4	141	28240
5	169	28008
6	196	27933
7	222	27566
8	248	27415
9	277	27494
10	303	27321
11	331	27287
12	358	27242
13	386	27188
14	413	27157
15	439	27045
16	466	27002
17	493	26938
18	520	26893
19	545	26738
20	572	26695
21	601	26736
22	626	26615
23	653	26576
24	682	26632
25	709	26583
26	734	26478
27	761	26443
28	790	26465
29	817	26440
30	842	26343
31	873	26436
32	898	26324
33	925	26299
34	953	26281
35	985	26392
36	1018	26500
37	1044	26435
38	1074	26467
39	1101	26425
40	1125	26331
41	1151	26270
42	1178	26224
43	1205	26189
44	1232	26148
45	1259	26122
46	1287	26114
47	1336	26505
48	1365	26498
49	1391	26436
50	1416	26359
51	1443	26321
52	1471	26300
53	1499	26269
54	1524	26199
55	1551	26149
56	1577	26100
57	1604	26062
58	1632	26044
59	1657	25970
60	1687	25976
61	1714	25937
62	1739	25877
63	1765	25813
64	1803	25939
65	1832	25929
66	1863	25945
67	1897	26006
68	1926	25994
69	1952	25944
70	1983	25954
71	2010	25918
72	2040	25912
73	2070	25912
74	2099	25891
75	2125	25844
76	2150	25783
77	2179	25765
78	2206	25722
79	2233	25683
80	2257	25608
81	2286	25598
82	2312	25554
83	2341	25537
84	2365	25466
85	2394	25450
86	2421	25407
87	2447	25369
88	2474	25333
89	2502	25299
90	2529	25263
91	2554	25212
92	2583	25200
93	2612	25179
94	2641	25159
95	2672	25166
96	2702	25154
97	2730	25131
98	2757	25096
99	2784	25060
100	2812	25036
101	2840	25008
102	2866	24960
103	2894	24934
104	2924	24925
105	2955	24924
106	2984	24907
107	3013	24887
108	3039	24843
109	3067	24814
110	3098	24815
111	3126	24792
112	3159	24802
113	3190	24796
114	3218	24768
115	3246	24741
116	3279	24751
117	3308	24730
118	3334	24687
119	3361	24653
120	3389	24621
121	3415	24580
122	3443	24551
123	3469	24512
124	3497	24485
125	3523	24439
126	3551	24412
127	3579	24382
128	3605	24345
129	3631	24300
130	3658	24271
131	3684	24226
132	3712	24200
133	3736	24150
134	3762	24107
135	3788	24071
136	3816	24041
137	3843	24009
138	3871	23982
139	3901	23968
140	3926	23919
141	3954	23894
142	3983	23872
143	4009	23836
144	4036	23802
145	4064	23771
146	4090	23738
147	4118	23707
