,Unnamed: 0,id,time,activityrecognition#1,android.sensor.accelerometer#mean,android.sensor.accelerometer#min,android.sensor.accelerometer#max,android.sensor.accelerometer#std,user,android.sensor.game_rotation_vector#mean,android.sensor.game_rotation_vector#min,android.sensor.game_rotation_vector#max,android.sensor.gravity#mean,android.sensor.gravity#min,android.sensor.gravity#max,android.sensor.gravity#std,android.sensor.gyroscope#mean,android.sensor.gyroscope#min,android.sensor.gyroscope#max,android.sensor.gyroscope#std,android.sensor.gyroscope_uncalibrated#mean,android.sensor.gyroscope_uncalibrated#min,android.sensor.gyroscope_uncalibrated#max,android.sensor.gyroscope_uncalibrated#std,android.sensor.linear_acceleration#mean,android.sensor.linear_acceleration#min,android.sensor.linear_acceleration#max,android.sensor.linear_acceleration#std,android.sensor.magnetic_field#mean,android.sensor.magnetic_field#min,android.sensor.magnetic_field#max,android.sensor.magnetic_field#std,android.sensor.magnetic_field_uncalibrated#mean,android.sensor.magnetic_field_uncalibrated#min,android.sensor.magnetic_field_uncalibrated#max,android.sensor.orientation#mean,android.sensor.orientation#min,android.sensor.orientation#max,android.sensor.orientation#std,android.sensor.rotation_vector#mean,android.sensor.rotation_vector#min,android.sensor.rotation_vector#max,android.sensor.rotation_vector#std,target
0,0,16170,78.0,100.0,9.81147629156,9.75889547269,9.84941095639,0.0146255073331,U12,0.0293404701347,0.0290141820322,0.0295264272136,9.80665014968,9.80664908184,9.80665101272,4.78069230071e-07,0.00165077522136,0.0,0.00353308255853,0.000736963641413,0.0162213599906,0.0141724221314,0.0186953157594,0.000981864545925,0.0209778383629,0.00249536633909,0.0524095823954,0.0110446872158,57.0996378983,56.6903871922,57.5759501429,0.177548772376,51.3635659024,51.1997072531,51.5392083783,354.286933099,353.598334711,354.942707018,0.2456763287,0.050413140269,0.0447771592556,0.0563513538347,0.00210922613983,0.0
1,1,15871,145.0,100.0,9.93920678262,7.70743742161,17.1466311902,1.7759442967,U12,0.51463253797935,0.5144587583761,0.5147361520703,9.80663705093,9.80663651701,9.80663748245,5.627834552115e-07,0.01898824473508,0.0058346939636,0.0314604892913649,0.0105133319297565,0.0276219494703999,0.01415237613755,0.05209450513275,0.0098056322329625,0.45009901045845,0.321806159630545,0.6191097520727,0.1448873401699,43.2254627208,42.4314461815,43.98098333185,0.5495479309555,67.06566304194999,66.80479871815001,67.33241927910001,343.491254882,342.0296941975,347.0256572325,0.975746263035,0.525197184504,0.5223701064823,0.52817537880135,0.0010674647565227,1.0
2,2,16811,150.0,100.0,9.82717783631,9.80481712742,9.84926211274,0.0111991059917,U12,0.5648268276089,0.5647100391894,0.5648968390198666,9.806641441956666,9.806641019503331,9.80664179614,4.6924124356133333e-07,0.01316703533409,0.0038897959757333,0.0218434443496099,0.0072464548667253,0.0238484883566,0.0143165726072,0.0405209826217,0.0068290727335766,0.3114360840207666,0.2231071519342633,0.4269102766315333,0.1005518740890666,38.785284144866665,38.201537966766665,39.33342517916666,0.4099823868966666,63.27568082246666,63.037133069633335,63.5111149641,253.9117209691333,252.42762728896665,256.43996291816666,0.7883988944603333,0.5536168632656667,0.5517321445845332,0.5556023261305666,0.0044824217777484,0.0
3,3,15831,105.0,77.0,9.67303911332,7.65967372861,12.3042975935,0.862553258429,U12,0.672675354209675,0.67197775844055,0.6733378672224,9.8066404924025,9.8066401755625,9.80664075804,8.82071867241e-07,0.0189853552646925,0.008033112424625,0.0295106445509825,0.0080730343053189,0.0305760524725249,0.0169203239296,0.0508624617576,0.0096309303834325,0.6056672079880749,0.3113079422434475,0.92415244840615,0.30543312281755,38.548080760625,38.032584602575,39.036873060825,0.41735212669875,71.392715774475,71.19392708640001,71.58916925415,283.8228005836,279.295032903725,291.597907512375,2.80880181269775,0.66474072675275,0.6633271877419,0.666229823901425,0.0040586957390963,1.0
5,5,13480,559.0,100.0,9.33048171135,9.14902923812,9.52004390746,0.10385656289,U8,0.65089866022934,0.64194202754984,0.67320304270212,9.806642425182,9.806642072878,9.806642712674,7.585460960738e-07,0.0518287037735539,0.0105598613871599,0.099783528987186,0.0262222551398151,0.07759127895562,0.04177795891548,0.10329391608488,0.024339707352366,0.81619526680846,0.325006954937358,1.2985210226649202,0.46879159031404,46.5136082785,45.73471980378,47.08424633536,0.554753931457,88.60001612357999,88.31432348512001,88.88384059532,265.69853215008,230.60902064138,305.3904195553,38.5929323899582,0.596240964403,0.59227271900072,0.6086224939335401,0.008368527071797,1.0
6,6,18786,41.0,100.0,9.78977129281,9.7587507121,9.8161968759,0.0134885934094,U7,0.5917305610667833,0.5842667005005333,0.6103175464607666,9.806643646575,9.806643352988331,9.806643886151669,6.89367933248e-07,0.0438738973535966,0.0092551965639966,0.0842494775140066,0.0221520664607476,0.0718245398097166,0.0417650034486666,0.0934368726934833,0.0204527332673433,0.6847361945967166,0.2746985784628317,1.0874176378625,0.39126658301702,57.70189724725,56.97738731315,58.23880898196666,0.4945337596173333,102.30045039715,102.0154990641,102.56854646943331,277.56402794440004,248.32276835381663,310.64060078208337,32.16866028914945,0.5304005398848334,0.5270737886831,0.54073836119345,0.0070018871723555,2.0
7,7,15268,20.0,100.0,9.90601147575,6.43164569701,14.2026033269,1.04468410393,U12,0.6073062524948142,0.5989066714548857,0.6257492155769429,9.806642081237143,9.80663934427143,9.806644436435716,1.3744022544840002e-06,0.05773508874194,0.0088711300819657,0.1708443839272914,0.0360827663972122,0.0818703496806142,0.0367730059071585,0.1773476553789857,0.03446917785258,0.7302767030843286,0.2413174891395985,1.5608232127007144,0.4410234491367314,53.22645984097142,52.52651918111428,53.785818842685714,0.4742933061347142,96.18306843654284,95.81998652072858,96.62678624164286,274.0695066152,247.84645799955712,303.4246071156429,28.04238176141953,0.5873699960351428,0.5823589903260856,0.5980064799342429,0.0069362423439147,3.0
10,10,12177,234.0,100.0,9.86456460307,9.55466288207,10.3433459018,0.114261228016,U10,0.7634668222004444,0.7559464306937778,0.7796635892573334,9.806633755428887,9.806631630714444,9.806635579271113,2.538431010870778e-06,0.0680870166177577,0.0231744645833988,0.1701675081558677,0.0340709162217247,0.0800296650503777,0.0412242005917455,0.1606496640800222,0.1599554310630272,0.6329861228047,0.2305059839923333,1.2961356540827222,0.3919008350589911,55.5440211945,54.8340237886,56.170221936888886,0.5939123629623333,126.10888909948888,125.69540275655557,126.52494567524444,225.3083937753778,204.65783465254447,248.4468526390556,22.09129253911552,0.7566696354021112,0.752534756268,0.7650380753097779,0.0057784662160657,0.0
12,12,9972,11.0,100.0,9.36572732401,3.75871187487,13.7248098125,2.5084267287,U13,0.76649481558,0.7589677143534445,0.7827093062631111,9.806635263036666,9.80663270970111,9.80663750099778,2.996920164201556e-06,0.0993817519201122,0.0279771608480788,0.2554201027814789,0.0589700191258844,0.1159853041103778,0.0476347558402011,0.2451244854687333,0.18490282784966,0.6214834882347667,0.2207909917035889,1.329116734806033,0.44879074382669,69.10535882077778,67.90513313755555,70.2654423418889,0.9727421550261112,137.8981154029333,137.54593846102222,138.25520976213332,240.7306555573333,220.16161934577775,263.3529423817778,22.05573684979416,0.7519353987263334,0.7477634197582222,0.7603924107551111,0.0056453256938511,1.0
14,14,18258,7.0,100.0,9.82620101548,8.52210623851,11.3644736774,0.389263437107,U7,0.6727497306005555,0.6680105653168888,0.6787268339958888,9.806636049966666,9.806633530152222,9.806638286946669,3.0957759291183757e-06,0.0802229786378566,0.0270471975292533,0.2170932653064233,0.0483647671936966,0.0959784472032222,0.04408999266559,0.2167373681702222,0.1791361463690611,0.4824154230843222,0.2907724406630333,0.9817974750094778,0.287315255154565,67.11215829752221,66.05195262173334,68.27029145122223,0.9178327060196668,145.4462436538778,145.15279249205554,145.74461223298889,239.1448245678889,237.04245129522224,241.128080508,1.6087090449334234,0.7490382444307778,0.7437663184284444,0.7559935949231111,0.0068975138452133,3.0
